FacilityID;FacilityName;Lat;Long;Category;Concentration;cluster;height_07;height_08;height_09;height_10;height_11;height_12;height_13;height_14;height_15;height_16;height_17;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017
6700.0;CENTRALE BG ITALIA POWER DI TERMOLI;41.968610999999996;14.991944;Power plant(unspecified);3-8%;206;1840000000.0;1934000000.0;1398000000.0;855000000.0;740000000.0;359000000.0;521000000.0;338000000.0;0.0;318000000.0;603000000.0;300000000.0;284000000.0;318000000.0;286000000.0;326000000.0;0.0;0.0;0.0;0.0;0.0;0.0
6709.0;Stora Enso Oyj, Sunilan tehdas;60.54979;26.95848;Pulp and Paper;7-20%;205;1455000000.0;1329000000.0;658000000.0;1439000000.0;1378000000.0;1302000000.0;1277000000.0;1388000000.0;1417000000.0;1343000000.0;1359000000.0;874000000.0;768000000.0;237000000.0;890000000.0;871000000.0;821000000.0;787000000.0;903000000.0;893000000.0;882000000.0;857000000.0
6711.0;COLACEM S.P.A. - CEMENTERIA DI SESTO CAMPANO;41.513638;14.110277;Cement;14-33%;207;848000000.0;733000000.0;554000000.0;536000000.0;526000000.0;427000000.0;437000000.0;445000000.0;456000000.0;466000000.0;434000000.0;848000000.0;733000000.0;554000000.0;536000000.0;526000000.0;427000000.0;437000000.0;445000000.0;456000000.0;466000000.0;434000000.0
6712.0;LAFARGEHOLCIM ESPAÑA SAU - SAGUNTO (FABRICA DE CEMENTO);39.713104;-0.255923;Cement;14-33%;208;1040000000.0;921000000.0;722000000.0;753000000.0;645000000.0;533000000.0;496000000.0;599000000.0;574000000.0;593000000.0;681000000.0;1040000000.0;921000000.0;722000000.0;753000000.0;645000000.0;533000000.0;496000000.0;599000000.0;574000000.0;593000000.0;681000000.0
6720.0;Perstorp Oxo AB, Stenungsund;58.089516215;11.841195030000002;Other;;209;798000000.0;720000000.0;648000000.0;797000000.0;751000000.0;721000000.0;781000000.0;737000000.0;686000000.0;806000000.0;774000000.0;120000000.0;104000000.0;112000000.0;111000000.0;101000000.0;100000000.0;115000000.0;110000000.0;119000000.0;142000000.0;132000000.0
6724.0;Borealis Krackeranl.;58.089516215;11.841195030000002;Other;;209;798000000.0;720000000.0;648000000.0;797000000.0;751000000.0;721000000.0;781000000.0;737000000.0;686000000.0;806000000.0;774000000.0;678000000.0;616000000.0;536000000.0;686000000.0;650000000.0;621000000.0;666000000.0;627000000.0;567000000.0;664000000.0;642000000.0
6725.0;Mussalon Kaukolämpö Oy ja Nokian Lämpövoima Oy, Mussalon voimalaitos;60.47979;26.95848;Power plant(unspecified);3-8%;205;524000000.0;366000000.0;204000000.0;230000000.0;219000000.0;204000000.0;184000000.0;172000000.0;159000000.0;176000000.0;163000000.0;309000000.0;141000000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
6726.0;FÁBRICA DE CÓRDOBA (SOCIEDAD DE CEMENTOS Y MATERIALES DE CONSTRUCCIÓN DE ANDALUCÍA, S.A.);37.902838;-4.763037;Cement;14-33%;-1;279000000.0;330000000.0;463000000.0;511000000.0;456000000.0;321000000.0;0.0;156000000.0;159000000.0;312000000.0;171000000.0;279000000.0;330000000.0;463000000.0;511000000.0;456000000.0;321000000.0;0.0;156000000.0;159000000.0;312000000.0;171000000.0
6733.0;LAFARGE CEMENTOS S.A.U.;40.046;-3.85;Cement;14-33%;210;1450000000.0;1200000000.0;873000000.0;741000000.0;621000000.0;737000000.0;685000000.0;642000000.0;646000000.0;649000000.0;409000000.0;1450000000.0;1200000000.0;873000000.0;741000000.0;621000000.0;737000000.0;685000000.0;642000000.0;646000000.0;649000000.0;409000000.0
6735.0;PVO-Lämpövoima Oy, Kristiinan voimalaitos;62.2555;21.328;Power plant(unspecified);3-8%;-1;1010000000.0;541000000.0;0.0;1240000000.0;535000000.0;298000000.0;814000000.0;468000000.0;115000000.0;0.0;0.0;1010000000.0;541000000.0;0.0;1240000000.0;535000000.0;298000000.0;814000000.0;468000000.0;115000000.0;0.0;0.0
